Group,crop,garden,variant,latitude,longitude,country,IUCNRedList,ECO_CODE,province,geometry,
Trees,Maple,University of Guelph Arboretum,NA,43.284197,-80.462618,Canada,NA,NA0404,Ontario,c(-80.462618, 43.284197)
Trees,Maple,University of Guelph Arboretum,NA,43.36207605,-80.12006058,Canada,NA,NA0404,Ontario,c(-80.12006058, 43.36207605)
Trees,Maple,University of Guelph Arboretum,NA,41.81138836,-82.85521028,Canada,NA,NA0404,NA,c(-82.85521028, 41.81138836)
Trees,Maple,University of Guelph Arboretum,NA,43.284197,-80.462618,Canada,NA,NA0404,Ontario,c(-80.462618, 43.284197)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,University of Guelph Arboretum, saccharum,45.06596162,-77.53160573,Canada,NA,NA0604,Ontario,c(-77.53160573, 45.06596162)
Trees,Maple,University of Guelph Arboretum, saccharum,46.32827319,-79.37864484,Canada,NA,NA0604,Ontario,c(-79.37864484, 46.32827319)
Trees,Maple,University of Guelph Arboretum, saccharum,46.32827319,-79.37864484,Canada,NA,NA0604,Ontario,c(-79.37864484, 46.32827319)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,UBC, saccharum,43.130556,-79.056667,Canada,NA,NA0404,NA,c(-79.056667, 43.130556)
Trees,Maple,UBC, saccharum,42.62979,-81.775929,Canada,NA,NA0404,Ontario,c(-81.775929, 42.62979)
Trees,Maple,UBC, nigrum,43.58103,-80.517744,Canada,NA,NA0404,Ontario,c(-80.517744, 43.58103)
Trees,Maple,UBC, saccharum,42.62979,-81.775929,Canada,NA,NA0404,Ontario,c(-81.775929, 42.62979)
Trees,Maple,UBC, nigrum,43.58103,-80.517744,Canada,NA,NA0404,Ontario,c(-80.517744, 43.58103)
Trees,Maple,UBC, saccharum,43.130556,-79.056667,Canada,NA,NA0404,NA,c(-79.056667, 43.130556)
Trees,Maple,UBC, saccharum,43.83634,-80.87771,Canada,NA,NA0404,Ontario,c(-80.87771, 43.83634)
Trees,Maple,UBC, nigrum,43.159628,-81.801485,Canada,NA,NA0404,Ontario,c(-81.801485, 43.159628)
Trees,Maple,UBC, nigrum,43.58103,-80.517744,Canada,NA,NA0404,Ontario,c(-80.517744, 43.58103)
Trees,Maple,UBC, saccharum,42.62979,-81.775929,Canada,NA,NA0404,Ontario,c(-81.775929, 42.62979)
Trees,Maple,UBC, nigrum,43.159628,-81.801485,Canada,NA,NA0404,Ontario,c(-81.801485, 43.159628)
Trees,Maple,UBC, nigrum,43.58103,-80.517744,Canada,NA,NA0404,Ontario,c(-80.517744, 43.58103)
Trees,Maple,UBC, saccharum,42.62979,-81.775929,Canada,NA,NA0404,Ontario,c(-81.775929, 42.62979)
Trees,Maple,UBC, nigrum,43.159628,-81.801485,Canada,NA,NA0404,Ontario,c(-81.801485, 43.159628)
Trees,Maple,UBC, saccharum,43.130556,-79.056667,Canada,NA,NA0404,NA,c(-79.056667, 43.130556)
Trees,Maple,UBC, nigrum,43.159628,-81.801485,Canada,NA,NA0404,Ontario,c(-81.801485, 43.159628)
